[Header]
LogId=4
InstrumentId=1
Time=04/09/2024 11:02:33
InstrumentFirmware=V5.01
Latitude=43.818300
Longitude=15.246600
SvWaterThreshold=0.000000
CndWaterThreshold=0.000000
PrsWaterThreshold=0.000000
SoundInc=0.000000
UsePressureOffset=False
BatteryShutdownVoltage=0.00
BatteryWarningVoltage=0.00
Filename=026051_2024-09-04_11-02-33.csv
IsNew=False
HasErrors=False
IsInDesignMode=False
[MeasurementMetadata]
Columns=Date,Time,Conductivity,Temperature,Pressure,Battery,Salinity,Density,SVCalculated,Depth
Units=yyyy-mm-dd,hh:mm:ss.ss,mS/cm,°C,dBar,V,PSU,kg/cm^3,mS/cm,m
[MeasurementData]
2024-09-04,11:03:25.52,54.482000000,22.251000000,12.000000000,8.100000000,38.359000000,1026.753000000,1531.420000000,11.900000000
2024-09-04,11:03:26.02,54.335000000,22.098000000,12.130000000,8.070000000,38.376000000,1026.810000000,1531.040000000,12.030000000
2024-09-04,11:03:26.52,53.618000000,21.359000000,12.390000000,8.100000000,38.461000000,1027.085000000,1529.210000000,12.290000000
2024-09-04,11:03:27.02,53.455000000,21.254000000,12.540000000,8.070000000,38.423000000,1027.086000000,1528.890000000,12.440000000
2024-09-04,11:03:27.52,53.378000000,21.130000000,12.580000000,8.070000000,38.472000000,1027.158000000,1528.620000000,12.480000000
2024-09-04,11:03:28.02,53.293000000,21.018000000,12.560000000,8.070000000,38.504000000,1027.214000000,1528.360000000,12.460000000
2024-09-04,11:03:28.52,53.176000000,20.909000000,12.580000000,8.070000000,38.507000000,1027.246000000,1528.070000000,12.480000000
2024-09-04,11:03:29.02,52.593000000,20.369000000,12.810000000,8.100000000,38.520000000,1027.405000000,1526.640000000,12.710000000
2024-09-04,11:03:29.52,52.305000000,20.090000000,13.110000000,8.100000000,38.537000000,1027.495000000,1525.900000000,13.000000000
2024-09-04,11:03:30.02,52.024000000,19.823000000,13.410000000,8.100000000,38.549000000,1027.577000000,1525.190000000,13.300000000
2024-09-04,11:03:30.52,51.998000000,19.825000000,13.550000000,8.100000000,38.525000000,1027.559000000,1525.170000000,13.440000000
2024-09-04,11:03:31.02,52.011000000,19.841000000,13.500000000,8.100000000,38.521000000,1027.552000000,1525.210000000,13.390000000
2024-09-04,11:03:31.52,52.019000000,19.839000000,13.380000000,8.100000000,38.530000000,1027.559000000,1525.210000000,13.270000000
2024-09-04,11:03:32.02,52.000000000,19.834000000,13.420000000,8.100000000,38.518000000,1027.551000000,1525.180000000,13.310000000
2024-09-04,11:03:32.52,51.987000000,19.810000000,13.500000000,8.100000000,38.529000000,1027.566000000,1525.130000000,13.390000000
2024-09-04,11:03:33.02,51.953000000,19.787000000,13.590000000,8.100000000,38.522000000,1027.567000000,1525.060000000,13.480000000
2024-09-04,11:03:33.52,51.946000000,19.781000000,13.790000000,8.100000000,38.521000000,1027.569000000,1525.050000000,13.680000000
2024-09-04,11:03:34.02,51.943000000,19.778000000,13.990000000,8.100000000,38.522000000,1027.572000000,1525.040000000,13.880000000
2024-09-04,11:03:34.52,51.927000000,19.770000000,14.210000000,8.100000000,38.516000000,1027.570000000,1525.020000000,14.100000000
2024-09-04,11:03:35.02,51.906000000,19.747000000,14.430000000,8.100000000,38.519000000,1027.580000000,1524.960000000,14.310000000
2024-09-04,11:03:35.52,51.900000000,19.741000000,14.690000000,8.100000000,38.520000000,1027.583000000,1524.950000000,14.570000000
2024-09-04,11:03:36.02,51.903000000,19.741000000,14.890000000,8.070000000,38.522000000,1027.585000000,1524.960000000,14.770000000
2024-09-04,11:03:36.52,51.897000000,19.741000000,15.080000000,8.100000000,38.517000000,1027.582000000,1524.960000000,14.960000000
2024-09-04,11:03:37.02,51.889000000,19.732000000,15.380000000,8.070000000,38.519000000,1027.587000000,1524.940000000,15.260000000
2024-09-04,11:03:37.52,51.885000000,19.730000000,15.690000000,8.100000000,38.517000000,1027.588000000,1524.930000000,15.560000000
2024-09-04,11:03:38.02,51.878000000,19.726000000,15.940000000,8.100000000,38.515000000,1027.588000000,1524.930000000,15.810000000
2024-09-04,11:03:38.52,51.866000000,19.714000000,16.180000000,8.100000000,38.516000000,1027.593000000,1524.900000000,16.050000000
2024-09-04,11:03:39.02,51.836000000,19.680000000,16.430000000,8.100000000,38.522000000,1027.608000000,1524.810000000,16.300000000
2024-09-04,11:03:39.52,51.826000000,19.673000000,16.480000000,8.100000000,38.520000000,1027.609000000,1524.790000000,16.350000000
